Tietoja Espoosta ja sen suur- ja tilastoalueista,,,ESPOO,,
,,,,,
,,,2022,,
VÄESTÖ 31.12.,kpl,0-6 v,"23,881",,
,,7-12 v,"23,651",,
,,13-15 v,"11,565",,
,,16-24 v,"32,203",,
,,25-64 v,"167,744",,
,,65- v,"46,230",,
,,   65-74 v,"24,860",,
,,   75- v,"21,370",,
,,   85- v,"4,916",,
,,Yhteensä,"305,274",,
,,,,,
RUOTSINKIELISET 31.12.,,0-6 v,"1,895",,
,,7-12 v,"1,811",,
,,13-15 v,"1,002",,
,,16-24 v,"2,151",,
,,25-64 v,"8,805",,
,,65- v,"4,472",,
,,   65-74 v,"2,066",,
,,   75- v,"2,406",,
,,   85- v,630,,
,,Yhteensä,"20,136",,
,,,,,
VIERASKIELISET 31.12.,,0-6 v,"6,793",,
,,7-12 v,"5,876",,
,,13-15 v,"2,371",,
,,16-24 v,"6,988",,
,,25-64 v,"42,676",,
,,65- v,"2,026",,
,,   65-74 v,"1,496",,
,,   75- v,530,,
,,   85- v,121,,
,,Yhteensä,"66,730",,
,,,,,
MAAHANMUUTTAJATAUSTAISET 31.12.,,,,,
Vieraskielisiä henkilöitä,kpl,,"66,730",,
,,,,,
10 suurinta kieliryhmää,kpl,1.,"9,863",,
,,2.,"5,758",,
,,3.,"5,516",,
,,4.,"4,559",,
,,5.,"3,795",,
,,6.,"3,158",,
,,7.,"3,073",,
,,8.,"3,054",,
,,9.,"2,116",,
,,10.,"1,741",,
,,1.,Venäjä,,
,,2.,Viro,,
,,3.,Arabia,,
,,4.,Englanti,,
,,5.,Kiina,,
,,6.,Somali,,
,,7.,"Persia, Farsi",,
,,8.,Albania,,
,,9.,Kurdi,,
,,10.,Tagalog,,
Ulkomaan kansalaisia,kpl,,"43,958",,
,,,,,
MUUTTOLIIKE,kpl,,,,
Kuntaan muuttaneet,,,"26,867",,
Kunnasta muuttaneet,,,"19,985",,
Espoon sisäinen tulomuutto,,,"35,879",,
Espoon sisäinen lähtömuutto,,,"35,879",,
,,,,,
PERHEET JA ASUNTOKUNNAT 31.12.,kpl,,,,
Asuntokuntia,,,"140,835",,
Perheitä,,,"81,011",,
Perheissä henkilöitä yhteensä,,,"229,754",,
Lapsiperheitä,,,"37,280",,
 - joissa 0-17-vuotiaita lapsia keskimäärin,,,1.75,,
Yksinhuoltajaperheitä,,,"8,027",,
Yksinasuvia,,,"56,853",,
Yksinasuvia  65 v ja vanhemmat.,,,"15,969",,
Lapsiperheissä 0-17 v. lapsia,,,"65,422",,
,,,,,
ASUINOLOT 31.12.,,,,,
Puutteellisesti varustetut asunnot,kpl,,"1,817",,
"Puutteellisesti varustetut asunnot, %",%,,1.2,,
Asuntokunnan keskikoko /henkeä),kpl,,2.12,,
,,,,,
ASUNTOKANTA 31.12.,,,,,
"Kerrostalot, lkm",,,"95,299",,
"Pientalot, lkm",,,"55,643",,
"Vuokra-asunnot, lkm,",,,"60,167",,
"Kaupungin vuokra-asunnot, lkm",,,"16,249",,
"Kerrostalot, %",,,62.6,,
"Pientalot, %",,,36.5,,
"Vuokra-asunnot, %",,,39.5,,
"joista kaupungin vuokra-asunnot, %",,,27.0,,
Asunnot yhteensä,,,"152,306",,
,,,,,
ASUINRAKENNUSTEN VALMISTUSVUOSI 31.12.,,,,,
-1959,kpl,,"3,870",,
1960-69,,,"2,222",,
1970-79,,,"3,785",,
1980-1989,,,"6,751",,
1990-1999,,,"5,948",,
2000-2009,,,"6,994",,
2010-2019,,,"5,391",,
2020-,,,"1,938",,"36,899"
,,,,,
-1959,%,,10.5,,
1960-69,,,6.0,,
1970-79,,,10.3,,
1980-1989,,,18.3,,
1990-1999,,,16.1,,
2000-2009,,,19.0,,
2010-2019,,,14.6,,
2020-,,,5.3,,
,,,,,
ASUNTOJEN HUONELUKU 31.12.,kpl,,,,
yhteensä,,,"152,306",,
5+ h,,,"20,904",,
4 h,,,"28,225",,
3 h,,,"37,534",,
2 h,,,"44,585",,
1 h,,,"20,604",,
tuntematon,,,454,,
,,,,,
ASUNTOKUNNAT HENKILÖLUVUN MUKAAN 31.12.,kpl,,,,
5+ hlöä,,,"7,006",,
4 hlöä,,,"16,202",,
3 hlöä,,,"17,672",,
2 hlöä,,,"43,102",,
1 hlö,,,"56,853",,
yht,,,"140,835",,
,,,,,
VÄESTÖN PÄÄASIALLINEN TOMINTA 31.12.,kpl,,,,
Työvoima,,,"159,621",,
Työlliset,, ,"146,707",,
Työttömät,,,"12,914",,
Eläkeläisiä,, ,"50,029",,
Opiskelijoita,, ,"26,434",,
0-14-vuotiaita,, ,"55,236",,
Muita,, ,"13,954",,
,,,,,
Koko väestö,,,"305,274",,
,,,,,
15 VUOTTA TÄYTTÄNEIDEN KOULUTUSTASO 31.12.,kpl,,,,
Perusaste,,,"62,016",,
Toinen aste,,,"70,160",,
Korkea-aste,,,"117,862",,
Yhteensä,,,"250,038",,
,,,,,
TULOT ,€,,,,
valtionveronalaiset tulot /tulonsaaja (työvoimaan kuuluva),,,"57,339",,
,,,,,
TYÖTTÖMÄT 31.12.,kpl,,,,
Työttömiä,,,"12,914",,
Miehiä,, ,"6,811",,
Naisia,, ,"6,103",,
Alle 25-vuotiaat työttömät (15-24),, ,989,,
Työttömyys-%,, ,8.1,,
Alle 25-vuotiaiden työttömyys-%,, ,7.4,,
Työvoima,,,"159,621",,
Työvoima 15-24,,,"13,388",,
,,,,,
TYÖPAIKAT TOIMIALOITTAIN 31.12.,kpl,,,,
Teollisuus (B-E),,,"15,368",,
Rakentaminen (F),,,"8,107",,
"Kauppa, majoitus - ja ravitsemistoiminta (G, I)",,,"24,007",,
Kuljetus ja varastointi (H),,,"2,806",,
Informaatio ja viestintä (J),,,"15,544",,
Rahoitus- ja vakuutustoiminta (K),,,"3,094",,
Kiinteistöalan toiminta (L),,,"1,463",,
Asiantuntija-alat (M),,,"13,956",,
Yhteiskunnalliset palvelut (N-Q),,,"43,144",,
"Muut (R-X, A)",,,"7,897",,
Kaikki toimialat yhteensä,,,"135,386",,
